leftElbow,rightElbow,leftShould,rightShould,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,leftWrist,rightWrist,Xangle,time,nansec,diftime
42,109,83,52,45,41,20,30,7,21,24,42,5.628016620065105,1709574171.2975233,1709574171297523200,17374770200
42,111,82,50,36,32,3,13,11,19,42,68,9.379065512102907,1709574171.4720564,1709574171472056200,17549303200
34,87,88,59,43,45,13,28,6,23,32,54,7.816758864033316,1709574171.6426003,1709574171642600300,17719847300
37,92,93,62,39,42,3,13,8,24,37,56,7.452996019777261,1709574171.816141,1709574171816140800,17893387800
51,100,93,62,35,44,9,15,8,23,31,40,6.6562271583738,1709574171.993667,1709574171993666900,18070913900
45,104,90,60,30,42,10,16,13,21,40,76,7.196268342210434,1709574172.1723776,1709574172172377700,18249624700
34,112,90,59,28,45,11,19,11,21,53,66,7.040536956367623,1709574172.3638797,1709574172363879600,18441126600
29,109,90,58,24,46,8,19,10,20,60,65,6.541044123659538,1709574172.5453944,1709574172545394500,18622641500
27,111,89,55,25,42,9,18,11,19,58,71,6.568027459892569,1709574172.7468562,1709574172746856300,18824103300
22,108,86,55,30,41,12,20,15,19,57,75,6.458244130452395,1709574172.9343548,1709574172934354800,19011601800
61,117,71,63,28,41,16,22,44,20,60,80,6.2655751415509044,1709574173.1118805,1709574173111880400,19189127400
42,128,72,72,34,40,18,23,38,21,73,75,5.060398367449892,1709574173.3013754,1709574173301375400,19378622400
32,128,70,72,40,38,19,21,25,24,80,67,4.417100043349209,1709574173.4823985,1709574173482398500,19559645500
28,125,65,76,41,35,15,20,19,26,101,64,1.9643928853054677,1709574173.654969,1709574173654969200,19732216200
131,116,51,92,36,30,20,18,18,30,24,57,2.670573887424099,1709574173.8288758,1709574173828875700,19906122700
124,118,54,99,29,39,24,25,30,49,30,67,5.132850726773222,1709574174.0088706,1709574174008870600,20086117600
77,100,96,117,40,44,32,24,20,36,10,48,4.962769039399288,1709574174.2073693,1709574174207369200,20284616200
107,105,74,112,41,44,34,25,22,33,8,47,6.885911784352829,1709574174.3898506,1709574174389850600,20467097600
68,93,101,121,32,44,34,26,18,33,7,41,7.429842418843223,1709574174.5763533,1709574174576353400,20653600400
76,77,97,128,32,64,34,45,16,31,7,24,6.979163759290743,1709574174.7698665,1709574174769866600,20847113600
37,59,120,134,71,98,75,74,18,33,9,8,5.680072250584203,1709574174.9553535,1709574174955353700,21032600700
39,47,120,140,18,128,29,87,17,30,6,11,9.052502447037966,1709574175.1402767,1709574175140276800,21217523800
75,44,77,139,11,46,15,26,21,30,9,6,8.262509723821237,1709574175.3247724,1709574175324772400,21402019400
55,62,61,97,48,92,55,61,28,25,12,17,8.11391001359694,1709574175.5427547,1709574175542754600,21620001600
88,117,49,55,12,36,14,47,16,35,41,90,9.160493172257405,1709574175.7422214,1709574175742221200,21819468200
81,68,34,40,16,24,20,12,7,6,25,8,6.926711738566286,1709574175.9516606,1709574175951660500,22028907500
75,19,14,45,9,37,8,18,11,36,18,28,4.165902459940721,1709574176.130184,1709574176130183900,22207430900
16,35,63,43,12,37,14,17,17,41,31,17,54.037578971872655,1709574176.3176825,1709574176317682500,22394929500
87,59,66,22,25,17,26,25,41,19,91,67,57.759441616078526,1709574176.503189,1709574176503189000,22580436000
85,57,45,32,16,27,36,11,16,11,159,15,42.658711565703626,1709574176.6797163,1709574176679716400,22756963400
45,70,47,30,20,34,18,18,32,25,114,25,36.96367335914405,1709574176.8568697,1709574176856869700,22934116700
44,26,57,42,19,41,23,10,30,20,13,15,70.69138341345939,1709574177.029839,1709574177029839200,23107086200
28,18,90,95,13,9,17,26,46,20,12,15,44.80251473194902,1709574177.234317,1709574177234317100,23311564100
22,8,110,107,59,19,40,24,48,13,34,6,127.02596668017041,1709574177.4173343,1709574177417334300,23494581300
26,40,93,75,40,15,57,18,30,42,2,32,53.61149485484916,1709574177.6427314,1709574177642731600,23719978600
35,25,117,106,44,29,34,27,34,17,34,9,35.128771131520175,1709574177.814273,1709574177814273100,23891520100
45,77,112,107,26,31,31,23,27,13,57,103,7.360523556406208,1709574178.0027695,1709574178002769300,24080016300
41,51,108,106,34,47,54,64,23,12,47,57,18.550944636015497,1709574178.1952546,1709574178195254600,24272501600
46,56,60,71,19,20,50,20,2,7,14,39,26.933975105999853,1709574178.3693936,1709574178369393700,24446640700
60,44,79,93,37,20,62,33,7,16,19,25,9.127400433646551,1709574178.546833,1709574178546833200,24624080200
80,169,30,32,15,57,82,9,25,64,44,19,101.10760331460726,1709574178.7308502,1709574178730850200,24808097200
29,9,150,142,36,42,82,77,22,6,12,36,50.65361066304094,1709574178.9190922,1709574178919092300,24996339300
3,12,121,109,36,37,102,77,22,7,1,46,24.533968769559298,1709574179.098117,1709574179098117200,25175364200
14,45,155,162,22,37,83,71,15,20,22,16,24.644126425847972,1709574179.2712486,1709574179271248600,25348495600
7,46,161,156,30,53,82,71,11,22,26,8,29.599207486146902,1709574179.4489858,1709574179448985800,25526232800
30,45,143,151,33,66,95,63,16,21,14,37,31.18095453276725,1709574179.621547,1709574179621546900,25698793900
32,56,131,152,24,54,108,67,9,18,13,25,42.111411175820905,1709574179.814874,1709574179814873800,25892120800
61,64,107,144,41,33,98,69,46,19,21,10,23.17833423316826,1709574179.998729,1709574179998728900,26075975900
16,49,123,143,53,36,97,65,18,36,24,15,14.306360458808028,1709574180.1832767,1709574180183276600,26260523600
37,66,119,148,48,31,99,51,13,45,17,18,20.03246635486119,1709574180.3747542,1709574180374754200,26452001200
54,77,105,135,54,28,80,65,87,29,2,14,13.596472018688354,1709574180.5515158,1709574180551515900,26628762900
101,72,86,130,51,23,76,55,18,13,15,15,12.754788970566473,1709574180.734115,1709574180734114900,26811361900
64,61,104,127,93,38,101,70,86,32,19,16,26.666700063818993,1709574180.9183953,1709574180918395300,26995642300
80,52,15,100,115,53,139,91,21,8,91,8,17.779865560559607,1709574181.0953462,1709574181095346300,27172593300
113,62,19,83,121,94,150,132,3,9,62,12,17.869918398438266,1709574181.29185,1709574181291849900,27369096900
67,150,18,28,62,73,79,90,10,4,88,8,15.687271235018533,1709574181.4740698,1709574181474069700,27551316700
109,130,17,33,21,54,38,64,36,7,41,10,3.8339611426373366,1709574181.6675477,1709574181667547600,27744794600
124,86,38,79,31,47,53,56,29,14,22,23,11.481564007065753,1709574181.8511612,1709574181851161400,27928408400
102,105,44,50,41,46,61,57,16,8,52,21,11.068894611113542,1709574182.0547466,1709574182054746600,28131993600
86,89,40,58,30,50,58,66,6,2,34,17,11.343413346219926,1709574182.2312336,1709574182231233500,28308480500
77,63,31,63,35,36,66,54,15,3,35,20,14.633476518230866,1709574182.4401686,1709574182440168700,28517415700
43,43,19,69,54,84,100,106,18,10,61,18,10.810226954366618,1709574182.6226804,1709574182622680400,28699927400
